Materials,adsorption_energy
Mn_1@IrO2(100)_1#O,1.7979
Mn_1@IrO2(100)_1#OH,0.6612
Mn_1@IrO2(100)_1#OOH,3.4169
Mn_1@IrO2(100)_2#O,1.4369
Mn_1@IrO2(100)_2#OH,-0.1674
Mn_1@IrO2(100)_2#OOH,2.8058
Mn_1@IrO2(101)_1#O,1.7523
Mn_1@IrO2(101)_1#OH,0.5412
Mn_1@IrO2(101)_1#OOH,3.4425
Mn_1@IrO2(101)_2#O,1.8245
Mn_1@IrO2(101)_2#OH,0.0919
Mn_1@IrO2(101)_2#OOH,2.9691
Mn_1@IrO2(110)_1#O,1.4252
Mn_1@IrO2(110)_1#OH,0.4747
Mn_1@IrO2(110)_1#OOH,3.2828
Mn_1@IrO2(110)_2#O,1.4766
Mn_1@IrO2(110)_2#OH,-0.1393
Mn_1@IrO2(110)_2#OOH,2.7946
Mn_1@IrO2(111)_1#O,2.0012
Mn_1@IrO2(111)_1#OH,0.6881
Mn_1@IrO2(111)_1#OOH,3.7567
Mn_1@RuO2(001)_1#O,2.2139
Mn_1@RuO2(001)_1#OH,0.8473
Mn_1@RuO2(001)_1#OOH,3.7935
Mn_1@RuO2(100)_1#O,2.0124
Mn_1@RuO2(100)_1#OH,0.7107
Mn_1@RuO2(100)_1#OOH,3.7541
Mn_1@RuO2(100)_2#O,1.5082
Mn_1@RuO2(100)_2#OH,0.2978
Mn_1@RuO2(100)_2#OOH,3.1358
Mn_1@RuO2(101)_1#O,1.9782
Mn_1@RuO2(101)_1#OH,0.7457
Mn_1@RuO2(101)_1#OOH,3.6005
Mn_1@RuO2(101)_2#O,1.7909
Mn_1@RuO2(101)_2#OH,0.4797
Mn_1@RuO2(101)_2#OOH,3.6786
Mn_1@RuO2(110)_1#O,1.7641
Mn_1@RuO2(110)_1#OH,0.7564
Mn_1@RuO2(110)_1#OOH,3.6975
Mn_1@RuO2(110)_2#O,1.4756
Mn_1@RuO2(110)_2#OH,0.3536
Mn_1@RuO2(110)_2#OOH,3.3183
Mn_1@RuO2(111)_1#O,2.0622
Mn_1@RuO2(111)_1#OH,0.702
Mn_1@RuO2(111)_1#OOH,3.5954
Mn_2@IrO2(001)_1#O,2.3116
Mn_2@IrO2(001)_1#OH,0.6756
Mn_2@IrO2(001)_1#OOH,3.6458
Mn_2@IrO2(110)_1#O,1.6236
Mn_2@IrO2(110)_1#OH,-0.1998
Mn_2@IrO2(110)_1#OOH,2.7992
Mn_2@IrO2(111)_1#O,1.9645
Mn_2@IrO2(111)_1#OH,0.1966
Mn_2@IrO2(111)_1#OOH,3.1562
Mn_2@RuO2(001)_1#O,2.2566
Mn_2@RuO2(001)_1#OH,0.9249
Mn_2@RuO2(001)_1#OOH,3.886
Mn_2@RuO2(110)_1#O,1.5354
Mn_2@RuO2(110)_1#OH,0.3715
Mn_2@RuO2(110)_1#OOH,3.353
Mn_2@RuO2(111)_1#O,1.755
Mn_2@RuO2(111)_1#OH,0.4363
Mn_2@RuO2(111)_1#OOH,3.3705
Mo_1@IrO2(001)_1#O,1.8008
Mo_1@IrO2(001)_1#OH,0.0319
Mo_1@IrO2(001)_1#OOH,3.2896
Mo_1@IrO2(100)_1#O,0.7177
Mo_1@IrO2(100)_1#OH,-0.2911
Mo_1@IrO2(100)_1#OOH,3.0107
Mo_1@IrO2(100)_2#O,1.4624
Mo_1@IrO2(100)_2#OH,-0.2098
Mo_1@IrO2(100)_2#OOH,2.8227
Mo_1@IrO2(101)_1#O,0.3086
Mo_1@IrO2(101)_1#OH,-0.7483
Mo_1@IrO2(101)_1#OOH,2.6809
Mo_1@IrO2(101)_2#O,2.0085
Mo_1@IrO2(101)_2#OH,0.1147
Mo_1@IrO2(101)_2#OOH,2.9882
Mo_1@IrO2(110)_1#O,0.4281
Mo_1@IrO2(110)_1#OH,-0.3455
Mo_1@IrO2(110)_1#OOH,3.1146
Mo_1@IrO2(110)_2#O,1.5765
Mo_1@IrO2(110)_2#OH,-0.1014
Mo_1@IrO2(110)_2#OOH,2.8969
Mo_1@IrO2(111)_1#O,0.7728
Mo_1@IrO2(111)_1#OH,-0.6154
Mo_1@IrO2(111)_1#OOH,2.7441
Mo_1@RuO2(001)_1#O,1.502
Mo_1@RuO2(001)_1#OH,0.0106
Mo_1@RuO2(001)_1#OOH,3.3068
Mo_1@RuO2(100)_1#O,1.1937
Mo_1@RuO2(100)_1#OH,0.0321
Mo_1@RuO2(100)_1#OOH,3.3512
Mo_1@RuO2(100)_2#O,1.4214
Mo_1@RuO2(100)_2#OH,0.2473
Mo_1@RuO2(100)_2#OOH,3.2273
Mo_1@RuO2(101)_1#O,0.7721
Mo_1@RuO2(101)_1#OH,-0.1297
Mo_1@RuO2(101)_1#OOH,3.2049
Mo_1@RuO2(101)_2#O,1.7554
Mo_1@RuO2(101)_2#OH,0.4746
Mo_1@RuO2(101)_2#OOH,3.2618
Mo_1@RuO2(110)_1#O,0.8116
Mo_1@RuO2(110)_1#OH,0.0597
Mo_1@RuO2(110)_1#OOH,3.3804
Mo_1@RuO2(110)_2#O,1.4347
Mo_1@RuO2(110)_2#OH,0.3037
Mo_1@RuO2(110)_2#OOH,3.3039
Mo_1@RuO2(111)_1#O,0.627
Mo_1@RuO2(111)_1#OH,-0.4509
Mo_1@RuO2(111)_1#OOH,2.7965
Mo_2@IrO2(001)_1#O,2.3465
Mo_2@IrO2(001)_1#OH,0.7557
Mo_2@IrO2(001)_1#OOH,3.7491
Mo_2@IrO2(110)_1#O,1.5953
Mo_2@IrO2(110)_1#OH,-0.2729
Mo_2@IrO2(110)_1#OOH,2.7428
Mo_2@IrO2(111)_1#O,1.7753
Mo_2@IrO2(111)_1#OH,-0.0251
Mo_2@IrO2(111)_1#OOH,2.9313
Mo_2@RuO2(001)_1#O,1.7038
Mo_2@RuO2(001)_1#OH,0.3708
Mo_2@RuO2(001)_1#OOH,3.3592
Mo_2@RuO2(110)_1#O,1.4642
Mo_2@RuO2(110)_1#OH,0.2166
Mo_2@RuO2(110)_1#OOH,3.1802
Mo_2@RuO2(111)_1#O,1.2161
Mo_2@RuO2(111)_1#OH,-0.0056
Mo_2@RuO2(111)_1#OOH,2.9403
Ni_1@IrO2(001)_1#OH,1.6325
Ni_1@IrO2(100)_1#O,2.7095
Ni_1@IrO2(100)_1#OH,0.843
Ni_1@IrO2(100)_1#OOH,3.5178
Ni_1@IrO2(100)_2#O,1.5628
Ni_1@IrO2(100)_2#OH,-0.1946
Ni_1@IrO2(100)_2#OOH,3.1699
Ni_1@IrO2(101)_1#O,3.4317
Ni_1@IrO2(101)_1#OH,1.1987
Ni_1@IrO2(101)_2#O,2.1622
Ni_1@IrO2(101)_2#OH,0.3638
Ni_1@IrO2(110)_1#O,3.084
Ni_1@IrO2(110)_1#OH,0.9512
Ni_1@IrO2(110)_1#OOH,3.8741
Ni_1@IrO2(110)_2#O,1.5146
Ni_1@IrO2(110)_2#OH,-0.1018
Ni_1@IrO2(110)_2#OOH,2.8406
Ni_1@IrO2(111)_1#O,3.5603
Ni_1@IrO2(111)_1#OH,1.2716
Ni_1@IrO2(111)_1#OOH,3.8265
Ni_1@RuO2(001)_1#OH,1.4385
Ni_1@RuO2(100)_1#O,3.1233
Ni_1@RuO2(100)_1#OH,1.0452
